region_code, weather_param, year, key, value
UK, Tmax, 1917, JUL, 19.4
UK, Tmax, 1917, AUG, 17.9
UK, Tmax, 1917, SEP, 16.5
UK, Tmax, 1917, OCT, 10.2
UK, Tmax, 1917, NOV, 9.7
UK, Tmax, 1917, DEC, 4.7
UK, Tmax, 1917, WIN, 3.82
UK, Tmax, 1917, SPR, 9.96
UK, Tmax, 1917, SUM, 18.45
UK, Tmax, 1917, AUT, 12.10
UK, Tmax, 1917, ANN, 11.13
UK, Tmax, 1918, JAN, 5.5
UK, Tmax, 1918, FEB, 8.0
UK, Tmax, 1918, MAR, 8.6
UK, Tmax, 1918, APR, 9.8
UK, Tmax, 1918, MAY, 16.1
UK, Tmax, 1918, JUN, 16.8
UK, Tmax, 1918, JUL, 18.5
UK, Tmax, 1918, AUG, 18.6
UK, Tmax, 1918, SEP, 14.0
UK, Tmax, 1918, OCT, 11.5
UK, Tmax, 1918, NOV, 8.1
UK, Tmax, 1918, DEC, 8.2
UK, Tmax, 1918, WIN, 6.01
UK, Tmax, 1918, SPR, 11.55
UK, Tmax, 1918, SUM, 18.02
UK, Tmax, 1918, AUT, 11.19
UK, Tmax, 1918, ANN, 12.02
UK, Tmax, 1919, JAN, 4.8
UK, Tmax, 1919, FEB, 3.9
UK, Tmax, 1919, MAR, 5.8
UK, Tmax, 1919, APR, 10.1
UK, Tmax, 1919, MAY, 16.8
UK, Tmax, 1919, JUN, 17.1
UK, Tmax, 1919, JUL, 17.2
UK, Tmax, 1919, AUG, 18.7
UK, Tmax, 1919, SEP, 15.9
UK, Tmax, 1919, OCT, 11.0
UK, Tmax, 1919, NOV, 5.1
UK, Tmax, 1919, DEC, 6.9
UK, Tmax, 1919, WIN, 5.67
UK, Tmax, 1919, SPR, 10.92
UK, Tmax, 1919, SUM, 17.68
UK, Tmax, 1919, AUT, 10.68
UK, Tmax, 1919, ANN, 11.16
UK, Tmax, 1920, JAN, 6.8
UK, Tmax, 1920, FEB, 8.2
UK, Tmax, 1920, MAR, 9.4
UK, Tmax, 1920, APR, 10.1
UK, Tmax, 1920, MAY, 14.6
UK, Tmax, 1920, JUN, 17.5
UK, Tmax, 1920, JUL, 16.5
UK, Tmax, 1920, AUG, 16.4
UK, Tmax, 1920, SEP, 15.8
UK, Tmax, 1920, OCT, 13.4
UK, Tmax, 1920, NOV, 9.5
UK, Tmax, 1920, DEC, 6.1
UK, Tmax, 1920, WIN, 7.28
UK, Tmax, 1920, SPR, 11.37
UK, Tmax, 1920, SUM, 16.82
UK, Tmax, 1920, AUT, 12.90
UK, Tmax, 1920, ANN, 12.04
UK, Tmax, 1921, JAN, 8.4
UK, Tmax, 1921, FEB, 7.2
UK, Tmax, 1921, MAR, 9.4
UK, Tmax, 1921, APR, 12.0
UK, Tmax, 1921, MAY, 14.9
UK, Tmax, 1921, JUN, 18.2
UK, Tmax, 1921, JUL, 21.5
UK, Tmax, 1921, AUG, 17.7
UK, Tmax, 1921, SEP, 17.3
UK, Tmax, 1921, OCT, 15.6
UK, Tmax, 1921, NOV, 7.3
UK, Tmax, 1921, DEC, 8.6
UK, Tmax, 1921, WIN, 7.27
UK, Tmax, 1921, SPR, 12.10
UK, Tmax, 1921, SUM, 19.12
UK, Tmax, 1921, AUT, 13.43
UK, Tmax, 1921, ANN, 13.22
UK, Tmax, 1922, JAN, 5.5
UK, Tmax, 1922, FEB, 6.6
UK, Tmax, 1922, MAR, 7.2
UK, Tmax, 1922, APR, 8.7
UK, Tmax, 1922, MAY, 15.8
UK, Tmax, 1922, JUN, 16.8
UK, Tmax, 1922, JUL, 16.2
UK, Tmax, 1922, AUG, 16.1
UK, Tmax, 1922, SEP, 14.8
UK, Tmax, 1922, OCT, 11.2
UK, Tmax, 1922, NOV, 8.5
UK, Tmax, 1922, DEC, 7.2
UK, Tmax, 1922, WIN, 6.90
UK, Tmax, 1922, SPR, 10.62
UK, Tmax, 1922, SUM, 16.34
UK, Tmax, 1922, AUT, 11.49
UK, Tmax, 1922, ANN, 11.24
UK, Tmax, 1923, JAN, 7.7
UK, Tmax, 1923, FEB, 6.8
UK, Tmax, 1923, MAR, 9.1
UK, Tmax, 1923, APR, 10.0
UK, Tmax, 1923, MAY, 12.0
UK, Tmax, 1923, JUN, 15.1
UK, Tmax, 1923, JUL, 19.8
UK, Tmax, 1923, AUG, 17.8
UK, Tmax, 1923, SEP, 15.2
UK, Tmax, 1923, OCT, 11.7
UK, Tmax, 1923, NOV, 5.8
UK, Tmax, 1923, DEC, 5.8
UK, Tmax, 1923, WIN, 7.23
UK, Tmax, 1923, SPR, 10.34
UK, Tmax, 1923, SUM, 17.58
UK, Tmax, 1923, AUT, 10.89
UK, Tmax, 1923, ANN, 11.42
UK, Tmax, 1924, JAN, 6.3
UK, Tmax, 1924, FEB, 5.4
UK, Tmax, 1924, MAR, 7.2
UK, Tmax, 1924, APR, 10.1
UK, Tmax, 1924, MAY, 13.6
UK, Tmax, 1924, JUN, 16.4
UK, Tmax, 1924, JUL, 18.0
UK, Tmax, 1924, AUG, 16.7
UK, Tmax, 1924, SEP, 15.3
UK, Tmax, 1924, OCT, 12.3
UK, Tmax, 1924, NOV, 9.1
UK, Tmax, 1924, DEC, 8.4
UK, Tmax, 1924, WIN, 5.83
UK, Tmax, 1924, SPR, 10.34
UK, Tmax, 1924, SUM, 17.04
UK, Tmax, 1924, AUT, 12.22
UK, Tmax, 1924, ANN, 11.60
UK, Tmax, 1925, JAN, 7.1
UK, Tmax, 1925, FEB, 6.7
UK, Tmax, 1925, MAR, 7.3
UK, Tmax, 1925, APR, 10.3
UK, Tmax, 1925, MAY, 14.0
UK, Tmax, 1925, JUN, 18.5
UK, Tmax, 1925, JUL, 19.9
UK, Tmax, 1925, AUG, 18.2
UK, Tmax, 1925, SEP, 14.1
UK, Tmax, 1925, OCT, 12.9
UK, Tmax, 1925, NOV, 6.4
UK, Tmax, 1925, DEC, 4.8
UK, Tmax, 1925, WIN, 7.44
UK, Tmax, 1925, SPR, 10.54
UK, Tmax, 1925, SUM, 18.88
UK, Tmax, 1925, AUT, 11.15
UK, Tmax, 1925, ANN, 11.72
UK, Tmax, 1926, JAN, 6.5
UK, Tmax, 1926, FEB, 8.1
UK, Tmax, 1926, MAR, 8.7
UK, Tmax, 1926, APR, 12.2
UK, Tmax, 1926, MAY, 13.1
UK, Tmax, 1926, JUN, 16.7
UK, Tmax, 1926, JUL, 19.7
UK, Tmax, 1926, AUG, 19.2
UK, Tmax, 1926, SEP, 17.0
UK, Tmax, 1926, OCT, 10.5
UK, Tmax, 1926, NOV, 8.0
UK, Tmax, 1926, DEC, 6.3
UK, Tmax, 1926, WIN, 6.40
UK, Tmax, 1926, SPR, 11.32
UK, Tmax, 1926, SUM, 18.53
UK, Tmax, 1926, AUT, 11.82
UK, Tmax, 1926, ANN, 12.18
UK, Tmax, 1927, JAN, 6.4
UK, Tmax, 1927, FEB, 6.7
UK, Tmax, 1927, MAR, 9.4
UK, Tmax, 1927, APR, 10.5
UK, Tmax, 1927, MAY, 14.1
UK, Tmax, 1927, JUN, 15.1
UK, Tmax, 1927, JUL, 18.3
UK, Tmax, 1927, AUG, 18.3
UK, Tmax, 1927, SEP, 14.7
UK, Tmax, 1927, OCT, 12.9
UK, Tmax, 1927, NOV, 8.1
UK, Tmax, 1927, DEC, 3.5
UK, Tmax, 1927, WIN, 6.47
UK, Tmax, 1927, SPR, 11.34
UK, Tmax, 1927, SUM, 17.25
UK, Tmax, 1927, AUT, 11.90
UK, Tmax, 1927, ANN, 11.53
UK, Tmax, 1928, JAN, 7.2
UK, Tmax, 1928, FEB, 8.0
UK, Tmax, 1928, MAR, 7.9
UK, Tmax, 1928, APR, 11.0
UK, Tmax, 1928, MAY, 14.0
UK, Tmax, 1928, JUN, 15.5
UK, Tmax, 1928, JUL, 18.7
UK, Tmax, 1928, AUG, 18.0
UK, Tmax, 1928, SEP, 16.0
UK, Tmax, 1928, OCT, 12.5
UK, Tmax, 1928, NOV, 9.6
UK, Tmax, 1928, DEC, 5.8
UK, Tmax, 1928, WIN, 6.18
UK, Tmax, 1928, SPR, 10.96
UK, Tmax, 1928, SUM, 17.42
UK, Tmax, 1928, AUT, 12.73
UK, Tmax, 1928, ANN, 12.03
UK, Tmax, 1929, JAN, 3.5
UK, Tmax, 1929, FEB, 2.9
UK, Tmax, 1929, MAR, 11.1
UK, Tmax, 1929, APR, 9.8
UK, Tmax, 1929, MAY, 14.8
UK, Tmax, 1929, JUN, 16.3
UK, Tmax, 1929, JUL, 19.1
UK, Tmax, 1929, AUG, 17.8
UK, Tmax, 1929, SEP, 18.5
UK, Tmax, 1929, OCT, 11.8
UK, Tmax, 1929, NOV, 8.9
UK, Tmax, 1929, DEC, 7.3
UK, Tmax, 1929, WIN, 4.13
UK, Tmax, 1929, SPR, 11.90
UK, Tmax, 1929, SUM, 17.76
UK, Tmax, 1929, AUT, 13.05
UK, Tmax, 1929, ANN, 11.87
UK, Tmax, 1930, JAN, 7.1
UK, Tmax, 1930, FEB, 4.4
UK, Tmax, 1930, MAR, 7.5
UK, Tmax, 1930, APR, 10.6
UK, Tmax, 1930, MAY, 13.7
UK, Tmax, 1930, JUN, 18.6
UK, Tmax, 1930, JUL, 17.7
UK, Tmax, 1930, AUG, 18.3
UK, Tmax, 1930, SEP, 15.8
UK, Tmax, 1930, OCT, 12.4
UK, Tmax, 1930, NOV, 8.3
UK, Tmax, 1930, DEC, 6.3
UK, Tmax, 1930, WIN, 6.31
UK, Tmax, 1930, SPR, 10.58
UK, Tmax, 1930, SUM, 18.19
UK, Tmax, 1930, AUT, 12.19
UK, Tmax, 1930, ANN, 11.77
UK, Tmax, 1931, JAN, 5.4
UK, Tmax, 1931, FEB, 5.8
UK, Tmax, 1931, MAR, 6.8
UK, Tmax, 1931, APR, 10.1
UK, Tmax, 1931, MAY, 14.1
UK, Tmax, 1931, JUN, 16.4
UK, Tmax, 1931, JUL, 17.6
UK, Tmax, 1931, AUG, 17.1
UK, Tmax, 1931, SEP, 14.5
UK, Tmax, 1931, OCT, 12.0
UK, Tmax, 1931, NOV, 9.6
UK, Tmax, 1931, DEC, 7.5
UK, Tmax, 1931, WIN, 5.82
UK, Tmax, 1931, SPR, 10.35
UK, Tmax, 1931, SUM, 17.03
UK, Tmax, 1931, AUT, 12.04
UK, Tmax, 1931, ANN, 11.44
UK, Tmax, 1932, JAN, 8.5
UK, Tmax, 1932, FEB, 6.1
UK, Tmax, 1932, MAR, 7.8
UK, Tmax, 1932, APR, 9.4
UK, Tmax, 1932, MAY, 12.8
UK, Tmax, 1932, JUN, 17.6
UK, Tmax, 1932, JUL, 18.3
UK, Tmax, 1932, AUG, 19.6
UK, Tmax, 1932, SEP, 15.6
UK, Tmax, 1932, OCT, 11.1
UK, Tmax, 1932, NOV, 8.4
UK, Tmax, 1932, DEC, 7.3
UK, Tmax, 1932, WIN, 7.38
UK, Tmax, 1932, SPR, 10.01
UK, Tmax, 1932, SUM, 18.52
UK, Tmax, 1932, AUT, 11.67
UK, Tmax, 1932, ANN, 11.90
UK, Tmax, 1933, JAN, 4.7
UK, Tmax, 1933, FEB, 6.2
UK, Tmax, 1933, MAR, 10.6
UK, Tmax, 1933, APR, 12.0
UK, Tmax, 1933, MAY, 14.8
UK, Tmax, 1933, JUN, 19.0
UK, Tmax, 1933, JUL, 20.9
UK, Tmax, 1933, AUG, 20.6
UK, Tmax, 1933, SEP, 18.3
UK, Tmax, 1933, OCT, 12.4
UK, Tmax, 1933, NOV, 7.7
UK, Tmax, 1933, DEC, 4.2
UK, Tmax, 1933, WIN, 6.09
UK, Tmax, 1933, SPR, 12.44
UK, Tmax, 1933, SUM, 20.19
UK, Tmax, 1933, AUT, 12.81
UK, Tmax, 1933, ANN, 12.65
UK, Tmax, 1934, JAN, 6.9
UK, Tmax, 1934, FEB, 7.1
UK, Tmax, 1934, MAR, 7.6
UK, Tmax, 1934, APR, 10.2
UK, Tmax, 1934, MAY, 14.5
UK, Tmax, 1934, JUN, 18.3
UK, Tmax, 1934, JUL, 21.5
UK, Tmax, 1934, AUG, 18.2
UK, Tmax, 1934, SEP, 17.4
UK, Tmax, 1934, OCT, 12.3
UK, Tmax, 1934, NOV, 8.0
UK, Tmax, 1934, DEC, 8.9
UK, Tmax, 1934, WIN, 6.06
UK, Tmax, 1934, SPR, 10.77
UK, Tmax, 1934, SUM, 19.35
UK, Tmax, 1934, AUT, 12.59
UK, Tmax, 1934, ANN, 12.63
UK, Tmax, 1935, JAN, 6.5
UK, Tmax, 1935, FEB, 7.4
UK, Tmax, 1935, MAR, 9.2
UK, Tmax, 1935, APR, 10.6
UK, Tmax, 1935, MAY, 13.9
UK, Tmax, 1935, JUN, 17.4
UK, Tmax, 1935, JUL, 20.3
UK, Tmax, 1935, AUG, 20.0
UK, Tmax, 1935, SEP, 15.9
UK, Tmax, 1935, OCT, 11.7
UK, Tmax, 1935, NOV, 8.5
UK, Tmax, 1935, DEC, 4.7
UK, Tmax, 1935, WIN, 7.62
UK, Tmax, 1935, SPR, 11.23
UK, Tmax, 1935, SUM, 19.28
UK, Tmax, 1935, AUT, 12.06
UK, Tmax, 1935, ANN, 12.21
UK, Tmax, 1936, JAN, 5.2
UK, Tmax, 1936, FEB, 4.8
UK, Tmax, 1936, MAR, 8.9
UK, Tmax, 1936, APR, 9.4
UK, Tmax, 1936, MAY, 14.7
UK, Tmax, 1936, JUN, 17.9
UK, Tmax, 1936, JUL, 17.7
UK, Tmax, 1936, AUG, 19.1
UK, Tmax, 1936, SEP, 16.7
UK, Tmax, 1936, OCT, 12.3
UK, Tmax, 1936, NOV, 8.0
UK, Tmax, 1936, DEC, 7.4
UK, Tmax, 1936, WIN, 4.89
UK, Tmax, 1936, SPR, 11.02
UK, Tmax, 1936, SUM, 18.25
UK, Tmax, 1936, AUT, 12.33
UK, Tmax, 1936, ANN, 11.87
UK, Tmax, 1937, JAN, 6.9
UK, Tmax, 1937, FEB, 6.7
UK, Tmax, 1937, MAR, 5.6
UK, Tmax, 1937, APR, 11.4
UK, Tmax, 1937, MAY, 15.3
UK, Tmax, 1937, JUN, 17.0
UK, Tmax, 1937, JUL, 18.4
UK, Tmax, 1937, AUG, 19.9
UK, Tmax, 1937, SEP, 16.2
UK, Tmax, 1937, OCT, 12.7
UK, Tmax, 1937, NOV, 7.9
UK, Tmax, 1937, DEC, 4.8
UK, Tmax, 1937, WIN, 7.01
UK, Tmax, 1937, SPR, 10.73
UK, Tmax, 1937, SUM, 18.44
UK, Tmax, 1937, AUT, 12.27
UK, Tmax, 1937, ANN, 11.92
UK, Tmax, 1938, JAN, 7.4
UK, Tmax, 1938, FEB, 7.0
UK, Tmax, 1938, MAR, 11.9
UK, Tmax, 1938, APR, 11.5
UK, Tmax, 1938, MAY, 13.7
UK, Tmax, 1938, JUN, 16.8
UK, Tmax, 1938, JUL, 17.7
UK, Tmax, 1938, AUG, 18.9
UK, Tmax, 1938, SEP, 16.5
UK, Tmax, 1938, OCT, 12.6
UK, Tmax, 1938, NOV, 10.6
UK, Tmax, 1938, DEC, 6.1
UK, Tmax, 1938, WIN, 6.37
UK, Tmax, 1938, SPR, 12.37
UK, Tmax, 1938, SUM, 17.79
UK, Tmax, 1938, AUT, 13.23
UK, Tmax, 1938, ANN, 12.59
UK, Tmax, 1939, JAN, 5.6
UK, Tmax, 1939, FEB, 7.8
UK, Tmax, 1939, MAR, 8.2
UK, Tmax, 1939, APR, 11.5
UK, Tmax, 1939, MAY, 14.7
UK, Tmax, 1939, JUN, 17.9
UK, Tmax, 1939, JUL, 17.7
UK, Tmax, 1939, AUG, 19.3
UK, Tmax, 1939, SEP, 16.9
UK, Tmax, 1939, OCT, 11.1
UK, Tmax, 1939, NOV, 10.1
UK, Tmax, 1939, DEC, 5.3
UK, Tmax, 1939, WIN, 6.46
UK, Tmax, 1939, SPR, 11.47
UK, Tmax, 1939, SUM, 18.28
UK, Tmax, 1939, AUT, 12.66
UK, Tmax, 1939, ANN, 12.18
UK, Tmax, 1940, JAN, 2.0
UK, Tmax, 1940, FEB, 4.6
UK, Tmax, 1940, MAR, 8.5
UK, Tmax, 1940, APR, 11.1
UK, Tmax, 1940, MAY, 16.3
UK, Tmax, 1940, JUN, 20.6
UK, Tmax, 1940, JUL, 17.7
UK, Tmax, 1940, AUG, 18.6
UK, Tmax, 1940, SEP, 15.8
UK, Tmax, 1940, OCT, 12.0
UK, Tmax, 1940, NOV, 8.8
UK, Tmax, 1940, DEC, 6.0
UK, Tmax, 1940, WIN, 3.94
UK, Tmax, 1940, SPR, 12.00
UK, Tmax, 1940, SUM, 18.94
UK, Tmax, 1940, AUT, 12.21
UK, Tmax, 1940, ANN, 11.85
UK, Tmax, 1941, JAN, 2.2
UK, Tmax, 1941, FEB, 5.3
UK, Tmax, 1941, MAR, 7.5
UK, Tmax, 1941, APR, 9.0
UK, Tmax, 1941, MAY, 12.7
UK, Tmax, 1941, JUN, 18.2
UK, Tmax, 1941, JUL, 20.1
UK, Tmax, 1941, AUG, 17.3
UK, Tmax, 1941, SEP, 17.5
UK, Tmax, 1941, OCT, 12.9
UK, Tmax, 1941, NOV, 8.7
UK, Tmax, 1941, DEC, 7.6
UK, Tmax, 1941, WIN, 4.46
UK, Tmax, 1941, SPR, 9.75
UK, Tmax, 1941, SUM, 18.55
UK, Tmax, 1941, AUT, 13.02
UK, Tmax, 1941, ANN, 11.62
UK, Tmax, 1942, JAN, 3.6
UK, Tmax, 1942, FEB, 3.0
UK, Tmax, 1942, MAR, 7.5
UK, Tmax, 1942, APR, 12.5
UK, Tmax, 1942, MAY, 14.5
UK, Tmax, 1942, JUN, 17.6
UK, Tmax, 1942, JUL, 18.2
UK, Tmax, 1942, AUG, 18.7
UK, Tmax, 1942, SEP, 16.1
UK, Tmax, 1942, OCT, 12.6
UK, Tmax, 1942, NOV, 7.9
UK, Tmax, 1942, DEC, 8.4
UK, Tmax, 1942, WIN, 4.81
UK, Tmax, 1942, SPR, 11.48
UK, Tmax, 1942, SUM, 18.17
UK, Tmax, 1942, AUT, 12.21
UK, Tmax, 1942, ANN, 11.77
UK, Tmax, 1943, JAN, 6.5
UK, Tmax, 1943, FEB, 8.3
UK, Tmax, 1943, MAR, 9.9
UK, Tmax, 1943, APR, 13.3
UK, Tmax, 1943, MAY, 15.2
UK, Tmax, 1943, JUN, 17.3
UK, Tmax, 1943, JUL, 19.4
UK, Tmax, 1943, AUG, 18.0
UK, Tmax, 1943, SEP, 15.8
UK, Tmax, 1943, OCT, 13.3
UK, Tmax, 1943, NOV, 8.4
UK, Tmax, 1943, DEC, 6.0
UK, Tmax, 1943, WIN, 7.70
UK, Tmax, 1943, SPR, 12.78
UK, Tmax, 1943, SUM, 18.22
UK, Tmax, 1943, AUT, 12.52
UK, Tmax, 1943, ANN, 12.63
UK, Tmax, 1944, JAN, 7.9
UK, Tmax, 1944, FEB, 5.8
UK, Tmax, 1944, MAR, 8.4
UK, Tmax, 1944, APR, 12.9
UK, Tmax, 1944, MAY, 14.5
UK, Tmax, 1944, JUN, 16.3
UK, Tmax, 1944, JUL, 18.6
UK, Tmax, 1944, AUG, 20.0
UK, Tmax, 1944, SEP, 15.2
UK, Tmax, 1944, OCT, 11.4
UK, Tmax, 1944, NOV, 8.0
UK, Tmax, 1944, DEC, 5.9
UK, Tmax, 1944, WIN, 6.58
UK, Tmax, 1944, SPR, 11.94
UK, Tmax, 1944, SUM, 18.30
UK, Tmax, 1944, AUT, 11.56
UK, Tmax, 1944, ANN, 12.10
UK, Tmax, 1945, JAN, 2.7
UK, Tmax, 1945, FEB, 8.9
UK, Tmax, 1945, MAR, 11.0
UK, Tmax, 1945, APR, 13.1
UK, Tmax, 1945, MAY, 15.1
UK, Tmax, 1945, JUN, 17.2
UK, Tmax, 1945, JUL, 19.4
UK, Tmax, 1945, AUG, 18.9
UK, Tmax, 1945, SEP, 16.8
UK, Tmax, 1945, OCT, 14.4
UK, Tmax, 1945, NOV, 9.4
UK, Tmax, 1945, DEC, 7.2
UK, Tmax, 1945, WIN, 5.72
UK, Tmax, 1945, SPR, 13.08
UK, Tmax, 1945, SUM, 18.48
UK, Tmax, 1945, AUT, 13.51
UK, Tmax, 1945, ANN, 12.85
UK, Tmax, 1946, JAN, 5.4
UK, Tmax, 1946, FEB, 7.5
UK, Tmax, 1946, MAR, 8.3
UK, Tmax, 1946, APR, 13.2
UK, Tmax, 1946, MAY, 14.2
UK, Tmax, 1946, JUN, 15.9
UK, Tmax, 1946, JUL, 18.7
UK, Tmax, 1946, AUG, 17.2
UK, Tmax, 1946, SEP, 16.0
UK, Tmax, 1946, OCT, 11.8
UK, Tmax, 1946, NOV, 9.6
UK, Tmax, 1946, DEC, 5.5
UK, Tmax, 1946, WIN, 6.66
UK, Tmax, 1946, SPR, 11.88
UK, Tmax, 1946, SUM, 17.29
UK, Tmax, 1946, AUT, 12.45
UK, Tmax, 1946, ANN, 11.95
UK, Tmax, 1947, JAN, 4.3
UK, Tmax, 1947, FEB, 0.1
UK, Tmax, 1947, MAR, 5.3
UK, Tmax, 1947, APR, 11.0
UK, Tmax, 1947, MAY, 16.2
UK, Tmax, 1947, JUN, 18.0
UK, Tmax, 1947, JUL, 19.3
UK, Tmax, 1947, AUG, 22.7
UK, Tmax, 1947, SEP, 17.6
UK, Tmax, 1947, OCT, 13.8
UK, Tmax, 1947, NOV, 9.0
UK, Tmax, 1947, DEC, 6.8
UK, Tmax, 1947, WIN, 3.41
UK, Tmax, 1947, SPR, 10.81
UK, Tmax, 1947, SUM, 20.02
UK, Tmax, 1947, AUT, 13.46
UK, Tmax, 1947, ANN, 12.08
UK, Tmax, 1948, JAN, 6.4
UK, Tmax, 1948, FEB, 6.6
UK, Tmax, 1948, MAR, 11.8
UK, Tmax, 1948, APR, 12.2
UK, Tmax, 1948, MAY, 15.2
UK, Tmax, 1948, JUN, 16.2
UK, Tmax, 1948, JUL, 18.3
UK, Tmax, 1948, AUG, 17.2
UK, Tmax, 1948, SEP, 16.0
UK, Tmax, 1948, OCT, 12.4
UK, Tmax, 1948, NOV, 9.7
UK, Tmax, 1948, DEC, 7.6
UK, Tmax, 1948, WIN, 6.57
UK, Tmax, 1948, SPR, 13.07
UK, Tmax, 1948, SUM, 17.22
UK, Tmax, 1948, AUT, 12.72
UK, Tmax, 1948, ANN, 12.48
UK, Tmax, 1949, JAN, 7.4
UK, Tmax, 1949, FEB, 8.3
UK, Tmax, 1949, MAR, 7.9
UK, Tmax, 1949, APR, 12.7
